name,latitude,longitude,priority,service_time_min,package_weight,delivery_window
Park Street,22.5510,88.3520,3,15,2.5,09:30-11:00
Salt Lake Sector V,22.5804,88.4323,4,20,5.0,10:00-12:00
Howrah Station,22.5958,88.2636,5,25,8.0,08:30-10:00
New Town,22.6231,88.4674,2,10,1.2,12:00-14:00
Dum Dum Airport,22.6547,88.4467,4,20,6.5,09:00-11:30
Gariahat,22.5196,88.3660,3,15,3.0,11:00-13:00
Esplanade,22.5726,88.3639,5,20,4.0,08:00-09:30
Sealdah,22.5646,88.3690,4,15,2.0,10:30-12:30
Tollygunge,22.4950,88.3473,2,10,1.5,13:00-15:00
Behala,22.5033,88.3266,3,15,2.8,14:00-16:00
Rajarhat,22.6220,88.4390,4,20,5.5,09:30-12:00
Baguiati,22.6100,88.4300,3,12,2.2,11:00-13:30
Kalighat,22.5183,88.3468,5,18,3.5,08:30-10:30
Shyambazar,22.6026,88.3725,4,15,2.7,10:00-12:00